code,title,session,career,units,delivery_type
BUSN7036,Financial Statement Analysis,First Semester,Postgraduate,6,In Person
BUSN7008,Financial Statements and Reporting,First Semester / Second Semester,Postgraduate,6,In Person
ENVS3008,Fire in the Environment,,Undergraduate,6,In Person
ENVS6308,Fire in the Environment,,Postgraduate,6,In Person
INDG8004,First Nations Peoples and Public Policy in Australia,,Postgraduate,6,Online or In Person
INDG8005,First Nations Peoples and Public Policy in Australia (Advanced),,Postgraduate,12,Online
INDG3001,"First Nations Peoples, the State and Public Policy in Australia",Second Semester,Undergraduate,6,In Person
INDG3006,"First Peoples and Research Methods: Practice, Collaboration and Ethics",,Undergraduate,6,In Person
INDG3007,First Peoples' Social Justice Internship,,Undergraduate,6,In Person
INDG3003,First Peoples' economic self-determination and prosperity in the Australian economy,Second Semester,Undergraduate,6,In Person
ENGN4337,Flight Dynamics,First Semester,Undergraduate,6,In Person
ENGN6224,Fluid Mechanics and Heat Transfer,First Semester,Postgraduate,6,In Person
ENGN3224,Fluid Mechanics and Heat Transfer,First Semester,Undergraduate,6,In Person
EMDV8082,Food Wars: Food Security and Agricultural Policy,Second Semester,Postgraduate,6,Online or In Person
ANTH2132,Food for Thought: Anthropological Theories of Food and Eating,,Undergraduate,6,In Person
ANTH6518,Food for Thought: Anthropological theories of food and eating,,Postgraduate,6,In Person
POGO8015,Foreign Direct Investment Policy,,Postgraduate,6,In Person
INTR8068,Foreign Policy Analysis,Second Semester,Postgraduate,6,Online or In Person
POLS3001,Foreign Policy Analysis,First Semester,Undergraduate,6,In Person
BUSN8067,Forensic Accounting,First Semester,Postgraduate,6,In Person
BIAN2128,Forensic Anthropology and Archaeology,Second Semester,Undergraduate,6,In Person
BIAN6515,Forensic Anthropology and Archaeology,Second Semester,Postgraduate,6,In Person
LING3032,Forensic Linguistics: Forensic Voice and Text Comparison,First Semester,Undergraduate,6,In Person
LING6032,Forensic Linguistics: Forensic Voice and Text Comparison,First Semester,Postgraduate,6,In Person
LING6105,Forensic Linguistics: Language and the Law,,Postgraduate,6,In Person
LING2105,Forensic Linguistics: Language and the Law,,Undergraduate,6,In Person
ENVS8105,Forests Research Essay,First Semester / Second Semester,Postgraduate,6,In Person
POGO8900,Fostering Public Policy Research,Summer Session,Postgraduate,0,Online or In Person
CRWF9000,Fostering Public Policy Research,Summer Session,Postgraduate,0,Online or In Person
MUSI1501,Foundational Musicianship,First Semester,Undergraduate,6,In Person
POGO8401,Foundations in Public Policy,First Semester,Postgraduate,6,Online or In Person
ASTR2013,Foundations of Astrophysics,Second Semester,Undergraduate,6,In Person
LAWS6101,Foundations of Australian Law,First Semester / Second Semester,Postgraduate,6,In Person
LAWS1201,Foundations of Australian Law,First Semester / Second Semester,Undergraduate,6,In Person
ASIA2366,Foundations of Chinese Culture,,Undergraduate,6,In Person
MUSI1111,Foundations of Composition,First Semester,Undergraduate,6,In Person
COMP1600,Foundations of Computing,Second Semester,Undergraduate,6,In Person
COMP6260,Foundations of Computing,Second Semester,Postgraduate,6,In Person
ARTV1034,Foundations of Contemporary Arts Practices,First Semester,Undergraduate,6,In Person
DESN2002,Foundations of Creative Code,First Semester,Undergraduate,6,In Person
DESN6002,Foundations of Creative Code,First Semester,Postgraduate,6,In Person
EMET1001,Foundations of Economic and Financial Models,First Semester / Second Semester,Undergraduate,6,In Person
FINM1001,Foundations of Finance,First Semester / Second Semester,Undergraduate,6,In Person
FINM3015,Foundations of Fintech,Second Semester,Undergraduate,6,In Person
MATH8343,Foundations of Mathematics,First Semester,Postgraduate,6,In Person
MATH4343,Foundations of Mathematics,First Semester,Undergraduate,6,In Person
PHYS1001,Foundations of Physics,First Semester,Undergraduate,6,In Person
LAWS8661,Foundations of Private Law,,Postgraduate,6,Online or In Person
PSYC8410,Foundations of Professional Psychology,First Semester,Postgraduate,6,In Person
LAWS8660,Foundations of Public Law,Second Semester,Postgraduate,6,Online or In Person
SOCR1001,Foundations of Social Research,Second Semester,Undergraduate,6,In Person
MATH6116,Fractal Geometry and Chaotic Dynamics,First Semester,Postgraduate,6,In Person
MATH3062,Fractal Geometry and Chaotic Dynamics,First Semester,Undergraduate,6,In Person
CECS6001,Framing Questions about Cybernetic Systems,,Postgraduate,6,In Person
CYBN6001,Framing Questions about Cybernetic Systems,First Semester,Postgraduate,6,In Person
LAWS8243,Freedom of Information and Privacy,,Postgraduate,6,Online or In Person
FREN3108,From Colonialism to Cinéma-monde: Films of the French-speaking World,,Undergraduate,6,In Person
SCOM3007,From Creativity to Impact: Science Communication Project Design,Winter Session,Undergraduate,6,In Person
SCOM6007,From Creativity to Impact: Science Communication Project Design,Autumn Session,Postgraduate,6,Online or In Person
ARCH6037,From Empire to Invasions: The Archaeology of Europe from the Romans to the Vikings,,Postgraduate,6,Online or In Person
ARCH2037,From Empire to Invasions: the Archaeology of Europe from the Romans to the Vikings,,Undergraduate,6,Online or In Person
DESN2006,Front-End Web: Crafting Online Experience,,Undergraduate,6,In Person
DESN6006,Front-End Web: Crafting Online Experience,,Postgraduate,6,In Person
PHIL1004,Fundamental Ideas in Philosophy: An Introduction,First Semester,Undergraduate,6,In Person
BUSN2037,Fundamentals of Accounting Data Analytics,First Semester / Second Semester,Undergraduate,6,In Person
EMSC2021,Fundamentals of Climate Science,Second Semester,Undergraduate,6,In Person
EMSC6021,Fundamentals of Climate Science,Second Semester,Postgraduate,6,In Person
ENVS1008,Fundamentals of Environment and Sustainability,First Semester,Undergraduate,6,In Person
POPH4100,Fundamentals of Epidemiology,First Semester,Undergraduate,6,Online or In Person
POPH8100,Fundamentals of Epidemiology,First Semester,Postgraduate,6,Online or In Person
EMSC2023,Fundamentals of Geology,First Semester,Undergraduate,6,In Person
EMSC6123,Fundamentals of Geology,First Semester,Postgraduate,6,In Person
POGO8238,Fundamentals of Intergovernmental Management,Autumn Session,Postgraduate,3,Online or In Person
PHYS3711,Fundamentals of Noise and Measurement,First Semester,Undergraduate,6,In Person
PHYS6711,Fundamentals of Noise and Measurement,First Semester,Postgraduate,6,In Person
ENGN4204,Fundamentals of Nuclear Radiation,First Semester,Undergraduate,6,In Person
PHYS8204,Fundamentals of Nuclear Radiation,First Semester,Postgraduate,6,In Person
PHYS8201,Fundamentals of Nuclear Science,First Semester,Postgraduate,6,In Person
