code,college,school,areas_of_interest,exam,test_or_quiz,essay_or_report,participation,oral_presentation,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link,title,session,career,units,delivery_type,subject,other,session_list,school_list,college_list,blurb_clean
ENVS3008,College of Systems and Society,Fenner School of Environment and Society,"Earth and Marine Sciences, Forestry, Geography, Interdisciplinary Studies - Sustainability, Australian Indigenous Studies",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have completed 72 units towards a degree. Incompatible with ENVS6308.,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENVS3008_Time_Series_LRN.pdf,Fire in the Environment,NA,Undergraduate,6,In Person,ENVS,TRUE,,,,to enrol in this course you must have completed 72 units towards a degree. incompatible with envs6308
ENVS6308,College of Systems and Society,Fenner School of Environment and Society,"Earth and Marine Sciences, Forestry, Geography, Interdisciplinary Studies - Sustainability, Australian Indigenous Studies",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Incompatible with ENVS3008,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENVS6308_Time_Series_LRN.pdf,Fire in the Environment,NA,Postgraduate,6,In Person,ENVS,TRUE,,,,incompatible with envs3008
INDG8004,College of Arts and Social Sciences,Centre for Indigenous Policy Research,"History, Australian Indigenous Studies, Law, Policy Studies, Human Rights",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,You are not able to enrol in this course if you have previously completed INDG8005 or INDG3001.,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INDG8004_Time_Series_LRN.pdf,First Nations Peoples and Public Policy in Australia,NA,Postgraduate,6,Online or In Person,INDG,TRUE,,,,you are not able to enrol in this course if you have previously completed indg8005 or indg3001
INDG8005,College of Arts and Social Sciences,Centre for Indigenous Policy Research,"History, Australian Indigenous Studies, Law, Policy Studies, Human Rights",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,You are not able to enrol in this course if you have previously completed INDG3001 or INDG8004.,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INDG8005_Time_Series_LRN.pdf,First Nations Peoples and Public Policy in Australia (Advanced),NA,Postgraduate,12,Online,INDG,TRUE,,,,you are not able to enrol in this course if you have previously completed indg3001 or indg8004
INDG3001,College of Arts and Social Sciences,Centre for Indigenous Policy Research,"Anthropology, Development Studies, Australian Indigenous Studies, Policy Studies, Political Sciences",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,To enrol in this course you must have completed 72 units of tertiary courses.,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INDG3001_Time_Series_LRN.pdf,"First Nations Peoples, the State and Public Policy in Australia",Second Semester,Undergraduate,6,In Person,INDG,TRUE,,,,to enrol in this course you must have completed 72 units of tertiary courses
INDG3006,College of Arts and Social Sciences,NA,Australian Indigenous Studies,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"To enrol in this course you must have either (i) completed 72 units of study towards a degree or (ii) completed INDG1001, INDG1002 and INDG2001.",NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INDG3006_Time_Series_LRN.pdf,"First Peoples and Research Methods: Practice, Collaboration and Ethics",NA,Undergraduate,6,In Person,INDG,TRUE,,,,"to enrol in this course you must have either (i) completed 72 units of study towards a degree or (ii) completed indg1001, indg1002 and indg2001"
INDG3007,College of Arts and Social Sciences,NA,"Environmental Studies, Australian Indigenous Studies, Policy Studies, Engineering, Health",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INDG3007_Time_Series_LRN.pdf,First Peoples' Social Justice Internship,NA,Undergraduate,6,In Person,INDG,TRUE,,,,NA
INDG3003,College of Arts and Social Sciences,POLIS: The Centre for Social Policy Research,"Development Studies, Environmental Studies, Australian Indigenous Studies, Policy Studies, Economics",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INDG3003_Time_Series_LRN.pdf,First Peoples' economic self-determination and prosperity in the Australian economy,Second Semester,Undergraduate,6,In Person,INDG,TRUE,,,,NA
ENGN4337,College of Systems and Society,NA,"Engineering, Robotics",TRUE,FALSE,TRUE,FALSE,FALSE,50,exam,Final exam,To enrol in this course you must have completed ENGN3338 Aerodynamics and ENGN3223 Control Systems.,https://programsandcourses.anu.edu.au/course/ENGN4337/First%20Semester/3890,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN4337_Time_Series_LRN.pdf,Flight Dynamics,First Semester,Undergraduate,6,In Person,ENGN,FALSE,,,,to enrol in this course you must have completed engn3338 aerodynamics and engn3223 control systems
ENGN6224,College of Systems and Society,School of Engineering,NA,TRUE,FALSE,TRUE,FALSE,FALSE,40,exam,Final exam,To enrol in this course you must be studying a Master of Engineering or Master of Energy Change or Master of Energy Change (Research). Incompatible with ENGN3224.,https://programsandcourses.anu.edu.au/course/ENGN6224/First%20Semester/2236,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN6224_Time_Series_LRN.pdf,Fluid Mechanics and Heat Transfer,First Semester,Postgraduate,6,In Person,ENGN,FALSE,,,,to enrol in this course you must be studying a <<program:master of environment>> or <<program:master of energy change>> or <<program:master of energy change>>. incompatible with engn3224
ENGN3224,College of Systems and Society,School of Engineering,Engineering,TRUE,FALSE,TRUE,FALSE,FALSE,40,exam,Final exam,To enrol in this course you must have completed ENGN2222. Incompatible with ENGN6224.,https://programsandcourses.anu.edu.au/course/ENGN3224/First%20Semester/3881,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN3224_Time_Series_LRN.pdf,Fluid Mechanics and Heat Transfer,First Semester,Undergraduate,6,In Person,ENGN,FALSE,,,,to enrol in this course you must have completed engn2222. incompatible with engn6224
EMDV8082,"College of Law, Governance and Policy",Crawford School of Public Policy,Environmental Studies,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EMDV8082_Time_Series_LRN.pdf,Food Wars: Food Security and Agricultural Policy,Second Semester,Postgraduate,6,Online or In Person,EMDV,TRUE,,,,NA
ANTH2132,College of Arts and Social Sciences,School of Archaeology and Anthropology,"Anthropology, Health Medicine and the Body, Health",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"To enrol in this course you must have completed 12 units of 1000 level courses, or with permission of the convener. You are not able to enrol in this course if you have previously completed ANTH6518.",NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ANTH2132_Time_Series_LRN.pdf,Food for Thought: Anthropological Theories of Food and Eating,NA,Undergraduate,6,In Person,ANTH,TRUE,,,,"to enrol in this course you must have completed 12 units of 1000 level courses, or with permission of the convener. you are not able to enrol in this course if you have previously completed anth6518"
ANTH6518,College of Arts and Social Sciences,School of Archaeology and Anthropology,"Anthropology, Health Medicine and the Body",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"You are not able to enrol in this course if you have successfully completed ANTH2132, or with permission of the convener.",NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ANTH6518_Time_Series_LRN.pdf,Food for Thought: Anthropological theories of food and eating,NA,Postgraduate,6,In Person,ANTH,TRUE,,,,"you are not able to enrol in this course if you have successfully completed anth2132, or with permission of the convener"
POGO8015,"College of Law, Governance and Policy",Crawford School of Public Policy,Policy Studies,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/POGO8015_Time_Series_LRN.pdf,Foreign Direct Investment Policy,NA,Postgraduate,6,In Person,POGO,TRUE,,,,NA
INTR8068,College of Asia and the Pacific,Department of International Relations,"International Relations, Diplomacy",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INTR8068_Time_Series_LRN.pdf,Foreign Policy Analysis,Second Semester,Postgraduate,6,Online or In Person,INTR,TRUE,,,,NA
POLS3001,College of Arts and Social Sciences,School of Politics and International Relations,"International Relations, Security Studies, Diplomacy, International Affairs, Politics",TRUE,FALSE,TRUE,TRUE,TRUE,35,exam,Timed Take-Home Midterm Exam,"To enrol in this course you must have completed 12 units of 2000 level POLS courses, of which a minimum of 6 units must be from POLS2017, POLS2094, POLS2132 or POLS2133; or permission of the convenor.",https://programsandcourses.anu.edu.au/course/POLS3001/First%20Semester/3673,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/POLS3001_Time_Series_LRN.pdf,Foreign Policy Analysis,First Semester,Undergraduate,6,In Person,POLS,FALSE,,,,"to enrol in this course you must have completed 12 units of 2000 level pols courses, of which a minimum of 6 units must be from pols2017, pols2094, pols2132 or pols2133; or permission of the convenor"
BUSN8067,College of Business and Economics,Research School of Accounting,Accounting,TRUE,TRUE,FALSE,FALSE,FALSE,55,exam,Final Examination,To enrol in this course you must have completed BUSN7008. Incompatible with BUSN3060 and BUSN6060.,https://programsandcourses.anu.edu.au/course/BUSN8067/First%20Semester/4158,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN8067_Time_Series_LRN.pdf,Forensic Accounting,First Semester,Postgraduate,6,In Person,BUSN,FALSE,,,,to enrol in this course you must have completed busn7008. incompatible with busn3060 and busn6060
BIAN2128,College of Arts and Social Sciences,School of Archaeology and Anthropology,"Anthropology, Archaeology, Biological Anthropology, Forensic Anthropology",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"To enrol in this course you must have completed 12 units of 1000 level Anthropology (ANTH), Archaeology (ARCH), Biological Anthropology (BIAN) or Biology (BIOL) courses, or with permission of the convener. You are not able to enrol in this course if you have previously completed BIAN6515.",NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BIAN2128_Time_Series_LRN.pdf,Forensic Anthropology and Archaeology,Second Semester,Undergraduate,6,In Person,BIAN,TRUE,,,,"to enrol in this course you must have completed 12 units of 1000 level anthropology (anth), archaeology (arch), biological anthropology (bian) or biology (biol) courses, or with permission of the convener. you are not able to enrol in this course if you have previously completed bian6515"
BIAN6515,College of Arts and Social Sciences,School of Archaeology and Anthropology,"Anthropology, Archaeology, Biological Anthropology, Forensic Anthropology",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,You are not able to enrol in this course if you have previously completed BIAN2128,NA,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BIAN6515_Time_Series_LRN.pdf,Forensic Anthropology and Archaeology,Second Semester,Postgraduate,6,In Person,BIAN,TRUE,,,,you are not able to enrol in this course if you have previously completed bian2128
LING6032,College of Asia and the Pacific,School of Culture History and Language,NA,TRUE,FALSE,TRUE,FALSE,FALSE,40,exam,Final exam,"To enrol in this course students must have completed LING8004 or LING6105, or have the permission of the course coordinator. Incompatible with LING3032",https://programsandcourses.anu.edu.au/course/LING6032/First%20Semester/3680,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LING6032_Time_Series_LRN.pdf,Forensic Linguistics: Forensic Voice and Text Comparison,First Semester,Postgraduate,6,In Person,LING,FALSE,,,,"to enrol in this course students must have completed ling8004 or ling6105, or have the permission of the course coordinator. incompatible with ling3032"
